uri,Date event,RDFType,Platform,description,creator,created
http://www.phenome-fppn.fr/m3p/arch/2017/c17000001,06/04/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#Sowing,http://www.phenome-fppn.fr/m3p/phenoarch,Sowing at PHENOARCH platform,cabrera@supagro.inra.fr,13/04/2017
http://www.phenome-fppn.fr/m3p/arch/2017/c17000002,06/04/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#Sowing,http://www.phenome-fppn.fr/m3p/phenoarch,Sowing at PHENOARCH platform,cabrera@supagro.inra.fr,13/04/2017
http://www.phenome-fppn.fr/m3p/arch/2017/c17000003,06/04/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#Sowing,http://www.phenome-fppn.fr/m3p/phenoarch,Sowing at PHENOARCH platform,cabrera@supagro.inra.fr,13/04/2017
http://www.phenome-fppn.fr/m3p/arch/2017/c17000004,06/04/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#Sowing,http://www.phenome-fppn.fr/m3p/phenoarch,Sowing at PHENOARCH platform,cabrera@supagro.inra.fr,13/04/2017
http://www.phenome-fppn.fr/m3p/arch/2017/c17000005,06/04/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#Sowing,http://www.phenome-fppn.fr/m3p/phenoarch,Sowing at PHENOARCH platform,cabrera@supagro.inra.fr,13/04/2017
http://www.phenome-fppn.fr/m3p/arch/2017/c17000006,06/04/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#Sowing,http://www.phenome-fppn.fr/m3p/phenoarch,Sowing at PHENOARCH platform,cabrera@supagro.inra.fr,13/04/2017
http://www.phenome-fppn.fr/m3p/arch/2017/c17000007,06/04/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#Sowing,http://www.phenome-fppn.fr/m3p/phenoarch,Sowing at PHENOARCH platform,cabrera@supagro.inra.fr,13/04/2017
http://www.phenome-fppn.fr/m3p/arch/2017/c17000008,06/04/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#Sowing,http://www.phenome-fppn.fr/m3p/phenoarch,Sowing at PHENOARCH platform,cabrera@supagro.inra.fr,13/04/2017
http://www.phenome-fppn.fr/m3p/arch/2017/c17000009,06/04/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#Sowing,http://www.phenome-fppn.fr/m3p/phenoarch,Sowing at PHENOARCH platform,cabrera@supagro.inra.fr,13/04/2017
http://www.phenome-fppn.fr/m3p/arch/2017/c17000010,06/04/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#Sowing,http://www.phenome-fppn.fr/m3p/phenoarch,Sowing at PHENOARCH platform,cabrera@supagro.inra.fr,13/04/2017
