concern,date,RDFType,motivation,phenology_stage
http://www.phenome-fppn.fr/diaphen/2017/o17000001,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000010,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000100,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000101,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000102,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000103,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000104,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000105,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000106,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000107,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000108,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000109,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000011,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000110,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000111,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000112,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000113,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000114,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000115,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000116,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000117,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000118,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000119,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000012,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000120,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000121,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000122,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000123,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000124,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000125,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000126,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000127,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000128,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000129,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000013,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000130,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000131,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000132,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000133,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000134,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000135,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000136,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
