uri,experiment_id,Trait,method,scale,traituri,methoduri,unituri,skos,ref,category,db_value,db_objectalias,db_objecturi,db_date,db_labelView,db_experiment,mongo_collection,name,db_variable
http://www.phenome-fppn.fr/m3p/variable/v000009,ARCH2017-03-30,height_over_pot,computed,pixels,http://www.phenome-fppn.fr/m3p/variable/t000009,http://www.phenome-fppn.fr/m3p/variable/m000002,http://www.phenome-fppn.fr/m3p/variable/u000008,closeMatch,http://www.cropontology.org/rdf/CO_322:0000994,Imaging,data.height_over_pot.valueFloat,context.plantAlias,context.plant,date,configuration.labelView,context.experiment,imagesAnalysisResults,heightOverPot_computed_pixels,data.height_over_pot.variable
http://www.phenome-fppn.fr/m3p/variable/v000021,ARCH2017-03-30,silk_volume,Silk_detection_Ilastik,pixels,http://www.phenome-fppn.fr/m3p/variable/t000014,http://www.phenome-fppn.fr/m3p/variable/m000020,http://www.phenome-fppn.fr/m3p/variable/u000008,exactMatch,https://zenodo.org/record/1002173,Imaging,data.Silk_area.valueFloat,context.objectAlias,context.scientificObject,date,configuration.labelView,context.experiment,imagesAnalysisResults,silk_volume_Silk_detection_Ilastik_pixels,data.silk_volume.variable
http://www.phenome-fppn.fr/m3p/variable/v000024,ARCH2017-03-30,convex_hull_area,computed,square pixels,http://www.phenome-fppn.fr/m3p/variable/t000017,http://www.phenome-fppn.fr/m3p/variable/m000002,http://www.phenome-fppn.fr/m3p/variable/u000012,,,Imaging,data.convex_hull_area.valueFloat,context.plantAlias,context.plant,date,configuration.labelView,context.experiment,imagesAnalysisResults,convexHullPlantArea_computed_square pixels,data.convex_hull_area.variable
http://www.phenome-fppn.fr/m3p/variable/v000028,ARCH2017-03-30,convex_hull_perimeter,computed,pixels,http://www.phenome-fppn.fr/m3p/variable/t000021,http://www.phenome-fppn.fr/m3p/variable/m000002,http://www.phenome-fppn.fr/m3p/variable/u000008,,,Imaging,data.convex_hull_perimeter.valueFloat,context.plantAlias,context.plant,date,configuration.labelView,context.experiment,imagesAnalysisResults,convexHullPlantPerimeter_computed_pixels,data.convex_hull_perimeter.variable
http://www.phenome-fppn.fr/m3p/variable/v000029,ARCH2017-03-30,height_under_pot,computed,pixels,http://www.phenome-fppn.fr/m3p/variable/t000022,http://www.phenome-fppn.fr/m3p/variable/m000002,http://www.phenome-fppn.fr/m3p/variable/u000008,,,Imaging,data.height_under_pot.valueFloat,context.plantAlias,context.plant,date,configuration.labelView,context.experiment,imagesAnalysisResults,heightUnderPot_computed_pixels,data.height_under_pot.variable
http://www.phenome-fppn.fr/m3p/variable/v000030,ARCH2017-03-30,number_of_objects,computed,objects,http://www.phenome-fppn.fr/m3p/variable/t000023,http://www.phenome-fppn.fr/m3p/variable/m000002,http://www.phenome-fppn.fr/m3p/variable/u000013,,,Imaging,data.number_of_objects.valueFloat,context.plantAlias,context.plant,date,configuration.labelView,context.experiment,imagesAnalysisResults,numberOfObjects_computed_objects,data.number_of_objects.variable
http://www.phenome-fppn.fr/m3p/variable/v000031,ARCH2017-03-30,object_sum_area,computed,pixel,http://www.phenome-fppn.fr/m3p/variable/t000024,http://www.phenome-fppn.fr/m3p/variable/m000002,http://www.phenome-fppn.fr/m3p/variable/u000008,,,Imaging,data.object_sum_area.valueFloat,context.plantAlias,context.plant,date,configuration.labelView,context.experiment,imagesAnalysisResults,objectSumArea_computed_pixel,data.object_sum_area.variable
http://www.phenome-fppn.fr/m3p/variable/v000032,ARCH2017-03-30,width,computed,pixels,http://www.phenome-fppn.fr/m3p/variable/t000025,http://www.phenome-fppn.fr/m3p/variable/m000002,http://www.phenome-fppn.fr/m3p/variable/u000008,,,Imaging,data.width.valueFloat,context.plantAlias,context.plant,date,configuration.labelView,context.experiment,imagesAnalysisResults,plantWidth_computed_pixels,data.width.variable
http://www.phenome-fppn.fr/m3p/variable/v000033,ARCH2017-03-30,height,computed,pixels,http://www.phenome-fppn.fr/m3p/variable/t000026,http://www.phenome-fppn.fr/m3p/variable/m000002,http://www.phenome-fppn.fr/m3p/variable/u000008,,,Imaging,data.height.valueFloat,context.plantAlias,context.plant,date,configuration.labelView,context.experiment,imagesAnalysisResults,plantHeight_computed_pixels,data.height.variable
http://www.phenome-fppn.fr/m3p/variable/v000006,DIA2017-05-19,GroundCover,GrndCov,percentage,http://www.phenome-fppn.fr/m3p/variable/t000006,http://www.phenome-fppn.fr/m3p/variable/m000006,http://www.phenome-fppn.fr/m3p/variable/u000006,exactMatch,http://www.cropontology.org/rdf/CO_321:0001104,Imaging,data.groundCover.valueFloat,context.objectAlias,context.scientificObject,date,configuration.labelView,context.experiment,imagesAnalysisResults,GroundCover_GrndCov_percentage,data.GroundCover.variable
http://www.phenome-fppn.fr/m3p/variable/v000005,DIA2017-05-19,NDVI,NDVI-Measurement,index,http://www.phenome-fppn.fr/m3p/variable/t000002,http://www.phenome-fppn.fr/m3p/variable/m000005,http://www.phenome-fppn.fr/m3p/variable/u000003,exactMatch,http://www.cropontology.org/rdf/CO_322:0000880,Phenotyping,observationFloat,context.objectAlias,context.scientificObject,date,NA,context.experiment,plantObservation,NDVI_NDVI-Measurement_index,variable
http://www.phenome-fppn.fr/m3p/variable/v000007,DIA2017-05-19,Leaf_length,LLng-Measurement,millimeter,http://www.phenome-fppn.fr/m3p/variable/t000007,http://www.phenome-fppn.fr/m3p/variable/m000007,http://www.phenome-fppn.fr/m3p/variable/u000004,exactMatch,http://www.cropontology.org/rdf/CO_322:0000780,Phenotyping,observationFloat,context.objectAlias,context.scientificObject,date,NA,context.experiment,plantObservation,Leaf length_LLng-Measurement_mm,variable
http://www.phenome-fppn.fr/m3p/variable/v000008,DIA2017-05-19,Leaf_Area_Index,LAI_Computation,m2.m2,http://www.phenome-fppn.fr/m3p/variable/t000008,http://www.phenome-fppn.fr/m3p/variable/m000008,http://www.phenome-fppn.fr/m3p/variable/u000007,closeMatch,http://www.cropontology.org/rdf/CO_321:0001254,Phenotyping,observationFloat,context.objectAlias,context.scientificObject,date,NA,context.experiment,plantObservation,Leaf area index_LAI_Computation_m2m2,variable
http://www.phenome-fppn.fr/m3p/variable/v000010,DIA2017-05-19,Leaf_Number,Growing_Leaf_Number_Counting,leaf.plant,http://www.phenome-fppn.fr/m3p/variable/t000010,http://www.phenome-fppn.fr/m3p/variable/m000009,http://www.phenome-fppn.fr/m3p/variable/u000009,narrowMatch,http://www.cropontology.org/rdf/CO_325:0000900,Phenotyping,observationFloat,context.objectAlias,context.scientificObject,date,NA,context.experiment,plantObservation,Leaf_Number_Growing_Leaf_Number_Counting_leafplant,variable
http://www.phenome-fppn.fr/m3p/variable/v000011,DIA2017-05-19,Leaf_Number,Expanded_Leaf_Number_Counting,leaf.plant,http://www.phenome-fppn.fr/m3p/variable/t000010,http://www.phenome-fppn.fr/m3p/variable/m000010,http://www.phenome-fppn.fr/m3p/variable/u000009,narrowMatch,http://www.cropontology.org/rdf/CO_325:0000900,Phenotyping,observationFloat,context.objectAlias,context.scientificObject,date,NA,context.experiment,plantObservation,Leaf_Number_Expanded_Leaf_Number_Counting_leafplant,variable
http://www.phenome-fppn.fr/m3p/variable/v000012,DIA2017-05-19,Leaf_Number,Senesced_Leaf_Number_Counting,leaf.plant,http://www.phenome-fppn.fr/m3p/variable/t000010,http://www.phenome-fppn.fr/m3p/variable/m000011,http://www.phenome-fppn.fr/m3p/variable/u000009,narrowMatch,http://www.cropontology.org/rdf/CO_325:0000900,Phenotyping,observationFloat,context.objectAlias,context.scientificObject,date,NA,context.experiment,plantObservation,Leaf_Number_Senesced_Leaf_Number_Counting_leafplant,variable
